id,title,artist,date,score,link
528,Jessica Pratt,Jessica Pratt,2012-11-14,7.0,https://www.youtube.com/watch?v=HZswTkpdlfs
529,Koi No Yokan,Deftones,2012-11-15,6.0,https://www.youtube.com/watch?v=zYx3RYer3V8
530,Wiki93,Ratking,2012-11-15,5.0,https://www.youtube.com/watch?v=p_dtw1AgXZE
531,Rare Chandeliers,Action Bronson and the Alchemist,2012-11-16,8.0,https://www.youtube.com/watch?v=1GyJexedwEU
532,Order of Noise,Vessel,2012-11-16,7.0,https://www.youtube.com/watch?v=cOlx2JNEe0I
533,World Music,Goat,2012-11-19,5.0,https://www.youtube.com/watch?v=nga4paDJ6c0
534,Movement,Holly Herndon,2012-11-20,7.0,https://www.youtube.com/watch?v=1X9VpeohkLY
535,Duality,Captain Murphy,2012-11-21,7.0,https://www.youtube.com/watch?v=aVCMiepR6wA
536,The Odds,The Evens,2012-11-22,8.0,https://www.youtube.com/watch?v=DNzZfBfBjoU
537,Instrumental Tourist,Tim Hecker and Daniel Lopatin,2012-11-25,5.0,https://www.youtube.com/watch?v=lMMpw5VCywc
538,Into the Future,Bad Brains,2012-11-26,3.0,https://www.youtube.com/watch?v=jEZ5gdmUa4w
539,Half Way Home,Angel Olsen,2012-11-27,7.0,https://www.youtube.com/watch?v=nakdorPK09o
540,Floral Shoppe,Macintosh Plus,2012-11-28,4.0,https://www.youtube.com/watch?v=f0D9IyyeEEU
541,Wild Water Kingdom,Heems,2012-11-29,5.0,https://www.youtube.com/watch?v=kbmrV7CIa28
542,Love Is Love // Return To Dust,Code Orange Kids,2012-11-30,6.0,https://www.youtube.com/watch?v=hFP3nE2MB0E
543,Wu-Block,Wu-Block,2012-12-01,6.0,https://www.youtube.com/watch?v=qrfnaR4adiI
544,Bish Bosch,Scott Walker,2012-12-04,7.0,https://www.youtube.com/watch?v=yGrlhEmZZVc
545,Widowmaker,Dragged Into Sunlight,2012-12-05,6.0,https://www.youtube.com/watch?v=DtTUPKKeU8c
546,Roomful of Teeth,Roomful of Teeth,2012-12-06,7.0,https://www.youtube.com/watch?v=rJLVNSw3hDU
547,We Don't Even Live Here,P.O.S,2012-12-07,5.0,https://www.youtube.com/watch?v=9F0z05m0oM0
548,Kaleidoscope Dream,Miguel,2012-12-10,6.0,https://www.youtube.com/watch?v=tXGSh8nk2b4
549,Jesus Piece,The Game,2012-12-18,5.0,https://www.youtube.com/watch?v=fGIJCX1Yitc
550,Finally Rich,Chief Keef,2012-12-19,4.0,https://www.youtube.com/watch?v=0fRWxAV3Eik
551,Truant / Rough Sleeper,Burial,2012-12-20,8.0,https://www.youtube.com/watch?v=K8OJ5BC-7Xg
552,Is Your Love Big Enough?,Lianne La Havas,2012-12-22,7.0,https://www.youtube.com/watch?v=qEQV9tWfnEU
559,Things That Happen At Day / Things That Happen At Night,milo,2013-01-07,8.0,https://www.youtube.com/watch?v=Aq-kK9XNebo
560,Long.Live.A$AP,A$AP Rocky,2013-01-08,7.0,https://www.youtube.com/watch?v=4ZFpIxySk6w
561,Decompositions: Volume Number One,Circles Takes the Square,2013-01-10,6.0,https://www.youtube.com/watch?v=Zel8mYBDrZg
562,PEEP: The aPROcalypse,The Progressive Era,2013-01-11,8.0,https://www.youtube.com/watch?v=P__GsC98jPw
563,Anything In Return,Toro y Moi,2013-01-14,4.0,https://www.youtube.com/watch?v=jHUsBoVOxzE
564,Fade,Yo La Tengo,2013-01-15,7.0,https://www.youtube.com/watch?v=Ls07Jjbo_O0
565,We Are the 21st Century Ambassadors of Peace & Magic,Foxygen,2013-01-16,8.0,https://www.youtube.com/watch?v=o6bkUlYcLD8
566,{Awayland},Villagers,2013-01-17,7.0,https://www.youtube.com/watch?v=K27cGZKlxJo
567,Vertikal,Cult of Luna,2013-01-21,5.0,https://www.youtube.com/watch?v=FgYUNnepnzE
568,Home,Nosaj Thing,2013-01-22,5.0,https://www.youtube.com/watch?v=spFbZHM9pjY
569,13.0.0.0.0,TTNG (This Town Needs Guns),2013-01-23,7.0,https://www.youtube.com/watch?v=XRYppTnvr7g
570,Comadre,Comadre,2013-01-24,8.0,https://www.youtube.com/watch?v=CYCHwDRCm2I
571,General Dome,Buke and Gase,2013-01-25,8.0,https://www.youtube.com/watch?v=5WPD-GvKG3w
572,Hummingbird,Local Natives,2013-01-28,5.0,https://www.youtube.com/watch?v=TJbUkULlkMk
573,California X,California X,2013-01-30,6.0,https://www.youtube.com/watch?v=fS-cFt887Po
574,Oddfellows,Tomahawk,2013-01-31,6.0,https://www.youtube.com/watch?v=zxbcZUAP1nc
575,Heartthrob,Tegan and Sara,2013-02-04,3.0,https://www.youtube.com/watch?v=S8WH_9n6x9w
576,The Eulogy,Cakes Da Killa,2013-02-05,8.0,https://www.youtube.com/watch?v=NczoVKmb1xs
577,Quantum Leap,Dumbo Gets Mad,2013-02-06,6.0,https://www.youtube.com/watch?v=Fcw5GlQwoXE
578,II,Unknown Mortal Orchestra,2013-02-07,7.0,https://www.youtube.com/watch?v=1WnqvDivfDg
579,MBV,My Bloody Valentine,2013-02-07,8.0,https://www.youtube.com/watch?v=EEY6WYtxZFQ
580,Indigoism,The Underachievers,2013-02-11,7.0,https://www.youtube.com/watch?v=Ki_jLJWcCYI
581,Waiting For Something To Happen,Veronica Falls,2013-02-13,6.0,https://www.youtube.com/watch?v=VysUDwL62z4
582,Holy Fire,Foals,2013-02-14,5.0,https://www.youtube.com/watch?v=IV0FxPl098Y
583,Honeys,Pissed Jeans,2013-02-15,7.0,https://www.youtube.com/watch?v=XiSU9xDyJc0
584,The Man Who Died In His Boat,Grouper,2013-02-16,7.0,https://www.youtube.com/watch?v=yBGd3VCdqII
585,Vexovoid,Portal,2013-02-19,5.0,https://www.youtube.com/watch?v=Rv3qVx2fUCU
586,Clash The Truth,Beach Fossils,2013-02-20,8.0,https://www.youtube.com/watch?v=KbSMVxEPb-8
587,Push The Sky Away,Nick Cave & The Bad Seeds,2013-02-21,5.0,https://www.youtube.com/watch?v=tJqnPRuIdmQ
588,You're Nothing,Iceage,2013-02-22,8.0,https://www.youtube.com/watch?v=p0-ZLyefddQ
589,Amok,Atoms For Peace,2013-02-26,7.0,https://www.youtube.com/watch?v=DyJKBHILnx8
590,Midcity,clipping.,2013-02-27,8.0,https://www.youtube.com/watch?v=UkJfb2np5JA
591,Crusher,Grave Babies,2013-02-27,7.0,https://www.youtube.com/watch?v=-E3BVFqsD2s
592,Miracle Mile,STRFKR,2013-02-28,3.0,https://www.youtube.com/watch?v=C6ptrREuJGA
593,The Underground Resistance,Darkthrone,2013-03-01,6.0,https://www.youtube.com/watch?v=3Ckbk-P7JxM
594,Czarface,Czarface,2013-03-04,6.0,https://www.youtube.com/watch?v=sVKjoQMZCfU
595,The Raven That Refused To Sing (And Other Stories),Steven Wilson,2013-03-05,5.0,https://www.youtube.com/watch?v=mP7tl9-luZE
596,Laid Out,Shlohmo,2013-03-05,8.0,https://www.youtube.com/watch?v=aDn2lSqXhe4
597,New Moon,The Men,2013-03-06,4.0,https://www.youtube.com/watch?v=Fm8qgVeig3g
598,Exai,Autechre,2013-03-07,8.0,https://www.youtube.com/watch?v=04flJC_4pv8
599,Woman,Rhye,2013-03-19,6.0,https://www.youtube.com/watch?v=mHicFE6i0nE
600,Abandon All Life,Nails,2013-03-20,7.0,https://www.youtube.com/watch?v=8cyqJakd27c
601,Comedown Machine,The Strokes,2013-03-21,5.0,https://www.youtube.com/watch?v=plxG23-nifs
602,Saturday,Dope Body,2013-03-21,7.0,https://www.youtube.com/watch?v=aEPCT7qnE04
603,The Next Day,David Bowie,2013-03-23,7.0,https://www.youtube.com/watch?v=1wcik0kXxng
604,The 20/20 Experience,Justin Timberlake,2013-03-25,5.0,https://www.youtube.com/watch?v=ylHizJmmJM4
605,Entrench,KEN mode,2013-03-26,7.0,https://www.youtube.com/watch?v=POLivKAD5wg
606,I See Seaweed,The Drones,2013-03-27,8.0,https://www.youtube.com/watch?v=Q7UfcEtU8AM
607,The North Borders,Bonobo,2013-03-27,6.0,https://www.youtube.com/watch?v=e_c7Fh4dL0c
608,Meir,Kvelertak,2013-03-28,8.0,https://www.youtube.com/watch?v=6KelOf9JfaY
609,Nostalchic,Lapalux,2013-03-29,7.0,https://www.youtube.com/watch?v=yuMJBV-efV8
610,Afraid of Heights,Wavves,2013-04-01,6.0,https://www.youtube.com/watch?v=-PdB0GnBrtU
611,Wolf,"Tyler, the Creator",2013-04-02,6.0,https://www.youtube.com/watch?v=aspbCJ68zqY
612,Hit The Waves,The Mary Onettes,2013-04-03,7.0,https://www.youtube.com/watch?v=nzqQJIk4TYo
613,Har Nevo,The Black Heart Rebellion,2013-04-04,7.0,https://www.youtube.com/watch?v=kCqxe3bhBqQ
614,Shaking The Habitual,The Knife,2013-04-07,9.0,https://www.youtube.com/watch?v=p5PwUsqFfuE
615,Overgrown,James Blake,2013-04-09,7.0,https://www.youtube.com/watch?v=vAA_szh6cDg
616,Sempiternal,Bring Me The Horizon,2013-04-10,4.0,https://www.youtube.com/watch?v=D4sv3XN9-Ag
617,The Terror,The Flaming Lips,2013-04-11,6.0,https://www.youtube.com/watch?v=dYLX9FtIzN8
618,II,Makthaverskan,2013-04-12,7.0,https://www.youtube.com/watch?v=7VLIVkZyCgY
619,King Remembered In Time,Big K.R.I.T.,2013-04-15,7.0,https://www.youtube.com/watch?v=7_OZ4Bsyipk
620,Infestissumam,Ghost,2013-04-16,5.0,https://www.youtube.com/watch?v=UO3iVVkcf9A
621,Floating Coffin,Thee Oh Sees,2013-04-17,5.0,https://www.youtube.com/watch?v=dLSyfSJ00VQ
622,Muchacho,Phosphorescent,2013-04-18,6.0,https://www.youtube.com/watch?v=paeXfCrBNqs
623,Wakin On A Pretty Daze,Kurt Vile,2013-04-19,8.0,https://www.youtube.com/watch?v=D3ZoR4mwdnw
624,Indicud,Kid Cudi,2013-04-20,2.0,https://www.youtube.com/watch?v=oA_9nhU65Ts
625,Twelve Reasons To Die,Ghostface Killah and Adrian Younge,2013-04-22,8.0,https://www.youtube.com/watch?v=TJEvrZHcEMY
626,"Sugarbread 7""",Soap&Skin,2013-04-23,7.0,https://www.youtube.com/watch?v=rTiya-mIJUU
627,Mosquito,Yeah Yeah Yeahs,2013-04-23,5.0,https://www.youtube.com/watch?v=s0DvP63D0B0
628,Monomania,Deerhunter,2013-04-24,6.0,https://www.youtube.com/watch?v=BSKuO06eluM
629,New History Warfare Vol. 3: To See More Light,Colin Stetson,2013-04-26,7.0,https://www.youtube.com/watch?v=MYJHHxjlwOQ
630,Ready To Die,Iggy And The Stooges,2013-04-28,4.0,https://www.youtube.com/watch?v=ooUmHvnjmwg
631,Innocence Is Kinky,Jenny Hval,2013-04-30,7.0,https://www.youtube.com/watch?v=W3v3SPfkTzE
632,Excavation,The Haxan Cloak,2013-05-01,8.0,https://www.youtube.com/watch?v=dFDF8bMJ-NA
633,Silence Yourself,Savages,2013-05-02,8.0,https://www.youtube.com/watch?v=16QuI9jkn7w
634,Legends Never Die,R.A. The Rugged Man,2013-05-04,6.0,https://www.youtube.com/watch?v=fMWT7_SsowU
635,Acid Rap,Chance The Rapper,2013-05-07,6.0,https://www.youtube.com/watch?v=pLGKl1e5_WM
636,Teethed Glory and Injury,Altar of Plagues,2013-05-07,9.0,https://www.youtube.com/watch?v=vwsM7UihYoY
637,Lung,Little Women,2013-05-08,6.0,https://www.youtube.com/watch?v=akI3DOvH2OA
638,Bankrupt!,Phoenix,2013-05-09,5.0,https://www.youtube.com/watch?v=zIIuA6__2RQ
639,Hokey Fright,The Uncluded,2013-05-10,7.0,https://www.youtube.com/watch?v=7jZ7aMkv59U
640,True Romance,Charli XCX,2013-05-13,3.0,https://www.youtube.com/watch?v=0fgfTrHZGlY
641,Moody Coup,Co La,2013-05-14,6.0,https://www.youtube.com/watch?v=wG034hgGvis
642,Modern Vampires of the City,Vampire Weekend,2013-05-14,7.0,https://www.youtube.com/watch?v=U2oWxvgeboY
643,One Of Us Is The Killer,The Dillinger Escape Plan,2013-05-16,8.0,https://www.youtube.com/watch?v=sEVQ4ZFxZxM
644,Random Access Memories,Daft Punk,2013-05-20,8.0,https://www.youtube.com/watch?v=tTUBoFVi-HY
645,Trouble Will Find Me,The National,2013-05-21,4.0,https://www.youtube.com/watch?v=5gDORqcKe2c
646,Endless Fantasy,Anamanaguchi,2013-05-22,6.0,https://www.youtube.com/watch?v=gx6YSnW3tUc
647,Howl,This Routine Is Hell,2013-05-23,8.0,https://www.youtube.com/watch?v=DYjFU8zATdc
648,Hanging Gardens,Classixx,2013-05-24,6.0,https://www.youtube.com/watch?v=ev49SUoNyrQ
649,Owl Pharaoh,Travis Scott,2013-05-27,3.0,https://www.youtube.com/watch?v=ijsQkQwNKzs
650,"Whenever, If Ever",The World Is a Beautiful Place,2013-05-28,7.0,https://www.youtube.com/watch?v=qsyAV70z5K4
651,Obsidian,Baths,2013-05-29,6.0,https://www.youtube.com/watch?v=drLldJfKOGs
652,Yessir Whatever,Quasimoto,2013-05-30,7.0,https://www.youtube.com/watch?v=lNat70LnRuk
653,Silver Wilkinson,Bibio,2013-05-31,7.0,https://www.youtube.com/watch?v=CDLs0XZiE8A
654,Sunbather,Deafheaven,2013-05-31,8.0,https://www.youtube.com/watch?v=rzolEHmXNBE
655,...Like Clockwork,Queens of the Stone Age,2013-06-04,9.0,https://www.youtube.com/watch?v=5uvj_3nd5kY
656,Settle,Disclosure,2013-06-05,7.0,https://www.youtube.com/watch?v=w33XqeTSNeg
657,Once I Was An Eagle,Laura Marling,2013-06-07,7.0,https://www.youtube.com/watch?v=98AjeD_2AFc
658,Apocalypse,Thundercat,2013-06-10,3.0,https://www.youtube.com/watch?v=95Y5IyPsMpc
661,Tomorrow's Harvest,Boards of Canada,2013-06-12,6.0,https://www.youtube.com/watch?v=k-37V-1igRw
664,Immunity,Jon Hopkins,2013-06-17,8.0,https://www.youtube.com/watch?v=KmiwDR2W2T8
665,Yeezus,Kanye West,2013-06-18,5.0,https://www.youtube.com/watch?v=Vns-81egipQ
666,Melt Yourself Down,Melt Yourself Down,2013-06-19,7.0,https://www.youtube.com/watch?v=7CDFaYbl7L0
669,With Love,Zomby,2013-06-21,5.0,https://www.youtube.com/watch?v=O6HlyfasxKE
670,Watching Movies With the Sound Off,Mac Miller,2013-06-22,6.0,https://www.youtube.com/watch?v=XdiGRpg1Row
672,Born Sinner,J. Cole,2013-06-25,5.0,https://www.youtube.com/watch?v=JSjc0XzeImg
673,Soft Will,Smith Westerns,2013-06-26,8.0,https://www.youtube.com/watch?v=Ce07L512gG4
675,Return to Annihilation,Locrian,2013-06-28,6.0,https://www.youtube.com/watch?v=GINcxJ20efI
677,Nandacollection,Kyary Pamyu Pamyu,2013-07-01,8.0,https://www.youtube.com/watch?v=N1_k2ikvXkc
679,Summer Knights,Joey Bada$$,2013-07-03,7.0,https://www.youtube.com/watch?v=TKeH0PM48EI
680,Run The Jewels,Run The Jewels,2013-07-08,8.0,https://www.youtube.com/watch?v=qvTJQU4nyqU
681,Dour Candy,Billy Woods,2013-07-08,7.0,https://www.youtube.com/watch?v=wxH8Q4b-0gg
682,Magna Carta... Holy Grail,Jay-Z,2013-07-09,6.0,https://www.youtube.com/watch?v=wBgqAKxujkE
683,The Inheritors,James Holden,2013-07-10,7.0,https://www.youtube.com/watch?v=YeHgbYZm6H0
684,The Headless Ritual,Autopsy,2013-07-11,6.0,https://www.youtube.com/watch?v=U-f5nFg-8Sk
687,Blood Donation,Mariam The Believer,2013-07-15,8.0,https://www.youtube.com/watch?v=G_sH1C5MjzQ
688,Tempest,Lycus,2013-07-17,7.0,https://www.youtube.com/watch?v=VZ2VfOOAyow
689,The Blackest Beautiful,letlive.,2013-07-18,5.0,https://www.youtube.com/watch?v=_MGNJbLc1wI
690,Scratch 'N Sniff,Stone Titan,2013-07-24,8.0,https://www.youtube.com/watch?v=Pkat6FdK-oU
691,Slow Focus,Fuck Buttons,2013-07-25,6.0,https://www.youtube.com/watch?v=EC9-QwUEaoc
692,Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,2013-07-29,3.0,https://www.youtube.com/watch?v=YHg5pYYEjRs
693,The Night's Gambit,Ka,2013-07-31,8.0,https://www.youtube.com/watch?v=IHXn82SEoLY
695,Body Music,AlunaGeorge,2013-08-02,7.0,https://www.youtube.com/watch?v=VBtBgCyA8BE
697,Ceres & Calypso In The Deep Time,Candy Claws,2013-08-06,7.0,https://www.youtube.com/watch?v=sJbkuz8zMyo
698,The Blind Hole,Dead In The Dirt,2013-08-07,6.0,https://www.youtube.com/watch?v=drEvNUbqbPs
699,Something Else,Tech N9ne,2013-08-08,4.0,https://www.youtube.com/watch?v=YUJdtb1j1jM
700,Fever Hunting,Modern Life Is War,2013-08-12,7.0,https://www.youtube.com/watch?v=7mDFyxgWRcg
701,Endless Night,TOAD,2013-08-13,7.0,https://www.youtube.com/watch?v=WlKQsXvfcds
702,Paracosm,Washed Out,2013-08-15,6.0,https://www.youtube.com/watch?v=FK0W-k8K2ew
703,An Object,No Age,2013-08-17,6.0,https://www.youtube.com/watch?v=zxL1xbQa20k
704,Doris,Earl Sweatshirt,2013-08-26,6.0,https://www.youtube.com/watch?v=VfeDoYdR2po
705,Loud City Song,Julia Holter,2013-08-26,8.0,https://www.youtube.com/watch?v=aqANxjB58wA
706,Trap Lord,A$AP Ferg,2013-08-28,7.0,https://www.youtube.com/watch?v=YFTUk2n9QCU
707,6 Feet Beneath The Moon,King Krule,2013-08-29,7.0,https://www.youtube.com/watch?v=kVZXrqUYKyA
708,Dysnomia,Dawn of Midi,2013-08-30,5.0,https://www.youtube.com/watch?v=9W7aWYbjd6c
709,The Lords of Flatbush,The Underachievers,2013-09-01,5.0,https://www.youtube.com/watch?v=CYKt8BRwoDc
710,Colored Sands,Gorguts,2013-09-02,8.0,https://www.youtube.com/watch?v=XV6nHQJMe7g
711,GNK,YC The Cynic,2013-09-03,8.0,https://www.youtube.com/watch?v=mU5d-KfXDNg
712,Forever,Holograms,2013-09-04,6.0,https://www.youtube.com/watch?v=EMYmf-RZql0
713,Law & Order,Jonathan Rado,2013-09-04,4.0,https://www.youtube.com/watch?v=93EA4JIEgWI
714,AM,Arctic Monkeys,2013-09-08,3.0,https://www.youtube.com/watch?v=Vcjy0dr42gc
715,Hesitation Marks,Nine Inch Nails,2013-09-09,6.0,https://www.youtube.com/watch?v=DXl_9cCuaAU
716,Pain Is Beauty,Chelsea Wolfe,2013-09-10,8.0,https://www.youtube.com/watch?v=oefX916-gYw
717,Dynamics,Holy Ghost!,2013-09-11,7.0,https://www.youtube.com/watch?v=02FAk9TYCas
718,Factory Floor,Factory Floor,2013-09-12,6.0,https://www.youtube.com/watch?v=28ikdznA3lc
719,The Electric Lady,Janelle Monáe,2013-09-13,7.0,https://www.youtube.com/watch?v=u3qbwIl1l-Q
720,Nostalgic 64,Denzel Curry,2013-09-16,7.0,https://www.youtube.com/watch?v=TxBRICiy0KU
721,Kiss Land,The Weeknd,2013-09-17,5.0,https://www.youtube.com/watch?v=V2T25eBfJng
722,Nature Noir,Crystal Stilts,2013-09-18,6.0,https://www.youtube.com/watch?v=HJ4X8Zuovrs
723,MGMT,MGMT,2013-09-19,6.0,https://www.youtube.com/watch?v=C-R3xTRHw9M
724,Hubardo,Kayo Dot,2013-09-20,7.0,https://www.youtube.com/watch?v=rmE2I04VFX0
725,Vapor City,Machinedrum,2013-09-23,7.0,https://www.youtube.com/watch?v=BDEDC-KNewI
726,Dream River,Bill Callahan,2013-09-24,8.0,https://www.youtube.com/watch?v=PVvK_xMD8n0
727,Nothing Was The Same,Drake,2013-09-25,5.0,https://www.youtube.com/watch?v=nk-QWzy6ihQ
728,Is Survived By,Touché Amoré,2013-09-26,8.0,https://www.youtube.com/watch?v=FRHf92JDVSQ
730,R Plus Seven,Oneohtrix Point Never,2013-10-01,6.0,https://www.youtube.com/watch?v=313T1dQJ8fk
731,Old,Danny Brown,2013-10-01,7.0,https://www.youtube.com/watch?v=GYaVI3fLFz0
733,Watcher,Haunted Horses,2013-10-04,7.0,https://www.youtube.com/watch?v=MapvwWsSYco
734,Psychic,Darkside,2013-10-07,8.0,https://www.youtube.com/watch?v=h_7zG3XQTSo
735,Lousy With Sylvianbriar,of Montreal,2013-10-08,8.0,https://www.youtube.com/watch?v=k9X1u7H_JcU
736,My Name Is My Name,Pusha T,2013-10-09,6.0,https://www.youtube.com/watch?v=osgjyexGTEo
739,Fetch,Melt-Banana,2013-10-12,9.0,https://www.youtube.com/watch?v=7UkObDLYo1Y
740,Valonielu,Oranssi Pazuzu,2013-10-14,6.0,https://www.youtube.com/watch?v=u3BWyaejZX8
742,Virgins,Tim Hecker,2013-10-16,9.0,https://www.youtube.com/watch?v=YzjLq2AoWv8
744,Static,Cults,2013-10-21,4.0,https://www.youtube.com/watch?v=WedevnI57u0
745,Race Music,Armand Hammer,2013-10-22,8.0,https://www.youtube.com/watch?v=ZyuHpnylj38
746,Flying Colours,Shad,2013-10-23,7.0,https://www.youtube.com/watch?v=OJkmhEfwrnk
747,Burials,AFI,2013-10-24,2.0,https://www.youtube.com/watch?v=JNyoitGE2cc
748,Melophobia,Cage the Elephant,2013-10-28,8.0,https://www.youtube.com/watch?v=Od7fLNhEecM
749,Chemistry of Consciousness,Toxic Holocaust,2013-10-28,6.0,https://www.youtube.com/watch?v=PxeVDCXOoos
751,Reflektor,Arcade Fire,2013-10-31,5.0,https://www.youtube.com/watch?v=I0G9Uw0QVYM
752,Blood Tears,Sisu,2013-11-04,6.0,https://www.youtube.com/watch?v=tSkKa5OQWfM
753,Beautiful Rewind,Four Tet,2013-11-05,7.0,https://www.youtube.com/watch?v=tCGtdhEqO8A
754,No Poison No Paradise,Black Milk,2013-11-07,8.0,https://www.youtube.com/watch?v=wXYj6ExDLaY
755,The Marshall Mathers LP 2,Eminem,2013-11-11,7.0,https://www.youtube.com/watch?v=K2uBdDrUIqU
756,Big Machines and Peculiar Beings,The Debauchees,2013-11-12,7.0,https://www.youtube.com/watch?v=XjSjgPvaqgw
757,"Portals To A Better, Dead World",Cara Neir,2013-11-14,7.0,https://www.youtube.com/watch?v=BVAuofrPpfU
758,Artpop,Lady Gaga,2013-11-15,6.0,https://www.youtube.com/watch?v=2lR7MWjLGDU
759,Government Plates,Death Grips,2013-11-18,6.0,https://www.youtube.com/watch?v=Ca1tyVTGf3w
760,Drone Logic,Daniel Avery,2013-11-19,8.0,https://www.youtube.com/watch?v=_g2wiO5w0dc
761,Matangi,M.I.A.,2013-11-20,7.0,https://www.youtube.com/watch?v=-v5hKxV70-0
762,Julia With Blue Jeans On,Moonface,2013-11-21,7.0,https://www.youtube.com/watch?v=IhzS6Du5-nI
763,Parasite Brain,Soupcans,2013-11-22,7.0,https://www.youtube.com/watch?v=gdXGEworpCI
764,"Night Time, My Time",Sky Ferreira,2013-11-24,4.0,https://www.youtube.com/watch?v=hwEA9vhpQDA
765,Cupid Deluxe,Blood Orange,2013-11-25,2.0,https://www.youtube.com/watch?v=oc5cWsoV3ho
766,Ghost At The Finish Line,Quelle Chris,2013-11-26,7.0,https://www.youtube.com/watch?v=ElxzDYTLs7k
768,Knock Madness,Hopsin,2013-12-03,3.0,https://www.youtube.com/watch?v=8nOe4cyttnQ
769,Arabrot,Arabrot,2013-12-05,6.0,https://www.youtube.com/watch?v=rwZLiOQbEPM
770,Aleph,Gesaffelstein,2013-12-09,5.0,https://www.youtube.com/watch?v=v7F2qoZkNIo
771,Because The Internet,Childish Gambino,2013-12-10,5.0,https://www.youtube.com/watch?v=i2uzq3A9YbU
772,How To Stop Your Brain In An Accident,Future Of The Left,2013-12-11,8.0,https://www.youtube.com/watch?v=qXvyxrarDxw
773,Rival Dealer,Burial,2013-12-16,5.0,https://www.youtube.com/watch?v=djD3ed7JwiY
779,Beyoncé,Beyoncé,2014-01-08,6.0,https://www.youtube.com/watch?v=od6nfOOtyK4
780,Forceps,Calvaiire,2014-01-09,7.0,https://www.youtube.com/watch?v=n6xdDoeRlI4
781,Nina,Xiu Xiu,2014-01-13,8.0,https://www.youtube.com/watch?v=ZxB8txjcYzM
782,Alternate/Endings,Lee Bannon,2014-01-14,6.0,https://www.youtube.com/watch?v=ZKU98ZjIwOU
783,Spaces,Nils Frahm,2014-01-15,7.0,https://www.youtube.com/watch?v=a6tuB0ksw18
784,Murmur,Murmur,2014-01-16,8.0,https://www.youtube.com/watch?v=MQDRPhGU9_k
785,Fuck Off Get Free We Pour Light On Everything,Silver Mount Zion,2014-01-20,8.0,https://www.youtube.com/watch?v=I_UR-FF5h2I
786,Transgender Dysphoria Blues,Against Me!,2014-01-21,5.0,https://www.youtube.com/watch?v=0ZA29cQNoQc
787,Rave Tapes,Mogwai,2014-01-22,6.0,https://www.youtube.com/watch?v=IUd5YFoXCl8
788,From All Purity,Indian,2014-01-23,8.0,https://www.youtube.com/watch?v=qckTUjyzNPg
789,Try Not To Destroy Everything You Love,An Autumn For Crippled Children,2014-01-27,7.0,https://www.youtube.com/watch?v=jVQJa_aVypc
790,The Unnatural World,Have A Nice Life,2014-01-28,8.0,https://www.youtube.com/watch?v=NRYIEL8sSdE
791,Ghettoville,Actress,2014-01-29,8.0,https://www.youtube.com/watch?v=7VTfz-V5JeA
792,Dead,Young Fathers,2014-01-30,6.0,https://www.youtube.com/watch?v=D5GI7_pGOJ0
793,The Satanist,Behemoth,2014-02-11,9.0,https://www.youtube.com/watch?v=5pfUULxVoSU
794,Lord Steppington,Step Brothers,2014-02-13,8.0,https://www.youtube.com/watch?v=oZsH0U3tZbA
795,Love Death Immortality,Glitch Mob,2014-02-17,3.0,https://www.youtube.com/watch?v=J_fZGm7NHbE
796,Angel Guts: Red Classroom,Xiu Xiu,2014-02-18,7.0,https://www.youtube.com/watch?v=nzO5rysgAQs
797,Burn Your Fire For No Witness,Angel Olsen,2014-02-19,5.0,https://www.youtube.com/watch?v=36W_fuo6k4s
798,Benji,Sun Kil Moon,2014-02-20,9.0,https://www.youtube.com/watch?v=ZTIJvNmsQgo
799,Labyrinth Constellation,Artificial Brain,2014-02-23,8.0,https://www.youtube.com/watch?v=JQbidnJumDs
800,Sun Structures,Temples,2014-02-25,5.0,https://www.youtube.com/watch?v=BxUup9eAILs
801,Terrestrials,Sunn O))) & Ulver,2014-02-25,6.0,https://www.youtube.com/watch?v=L8IsRJlOFzU
802,Oxymoron,ScHoolboy Q,2014-02-26,7.0,https://www.youtube.com/watch?v=FPsrNDt81aM
803,St. Vincent,St. Vincent,2014-02-27,7.0,https://www.youtube.com/watch?v=qP2hHvB4d_Y
804,Morning Phase,Beck,2014-03-03,4.0,https://www.youtube.com/watch?v=BrAgo1Qh4uk
806,Totem,White Suns,2014-03-10,8.0,https://www.youtube.com/watch?v=1WP-MMO45NY
807,Atlas,Real Estate,2014-03-11,3.0,https://www.youtube.com/watch?v=HdRbrgxxBuU
808,G I R L,Pharrell,2014-03-19,3.0,https://www.youtube.com/watch?v=CRPhFCPbrpQ
809,The Rooms of the House,La Dispute,2014-03-20,7.0,https://www.youtube.com/watch?v=_7Rfp95Jcw8
810,Piñata,Freddie Gibbs & Madlib,2014-03-22,9.0,https://www.youtube.com/watch?v=H2fc-AaU0Sw
811,Awake,Tycho,2014-03-23,6.0,https://www.youtube.com/watch?v=zWJVs2acHZg
812,Waterfall,Evian Christ,2014-03-24,7.0,https://www.youtube.com/watch?v=ZFQzmNCJh6I
813,Lost In The Dream,The War On Drugs,2014-03-24,7.0,https://www.youtube.com/watch?v=lQ3OTq63SDY
814,Eighteen Hours of Static,Big Ups,2014-03-25,8.0,https://www.youtube.com/watch?v=UT4gpKs2G8Y
